case_id,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,IL25,PSMC1,NRP1,IL31,S1PR1,LCP2,CYLD,KIR3DL1,JAK2,NR3C1,S100Z,ANOS1,PLXNC1,IL5RA,APOBEC3C,TLR1,GPHA2,STAT3
TCGA-4N-A93T,0.064113576,0,0.23449526,0.142268728,0,0.188439307,0,0.059177664,0.136621912,0,0,0,0.02399206,0.041960749,0.01107489,0.000571812,0,0,0,0.08966592,0.007618122,0,0.494136194,2.360233108,1.4496283,0.56241663,2.057078808,1.518633327,2.588583078,0.494136194,2.744567874,1.00039791,0.494136194,0.907442575,1.146419654,0.531945208,2.731671768,0.817438235,0.494136194,5.553449935
TCGA-4T-AA8H,0.068545091,0,0.268384974,0.101664983,0,0.261317017,0,0,0.072782972,0,0,0,0.009584793,0.031217737,0,0.064963707,0.041966724,0.028871001,0,0.040149463,0.010551539,0,0.568092503,2.983833264,1.315116683,0.433243329,1.956988433,1.24722616,2.487571578,0.433243329,2.835986786,1.77425181,0.433243329,1.006878641,1.107752431,0.462227295,2.296327007,1.425564817,0.433243329,5.847324726
TCGA-5M-AAT6,0,0.007998912,0.043514813,0.140113343,0,0.081943277,0.107057943,0.04074056,0.039528687,0,0.014958487,0,0,0.161715387,0.133677981,0.170448121,0.014473603,0,0.043828887,0,0,0,0.718016204,3.697612838,5.112375312,0.718016204,4.660121911,4.182805736,3.618016604,0.92571351,3.876926123,3.868948853,0.892669106,3.004444369,3.262119723,0.87415732,6.64372658,2.562919222,1.825125272,6.317274479
TCGA-5M-AATA,0.049231856,0,0.011952147,0.040941663,0,0.420091927,0.071103695,0.038690859,0.043238143,0,0,0,0.007534162,0.122820379,0.028059126,0.064830174,0.015376465,0.016649627,0,0.057042311,0.012437465,0,0.606184099,2.992757795,3.590291802,0.606184099,4.833730811,3.203180763,2.47358166,0.606184099,2.617992431,2.75523986,0.661050992,1.180072397,1.722740892,0.646993338,5.2156495,1.109582704,0.664013023,6.204905408
TCGA-5M-AATE,0.089282729,0,0.102201465,0.044725025,0,0.227012583,0.044148869,0.021592857,0.023968606,0,0.061172677,0,0,0.212784469,0.032809732,0.094410671,0.030145057,0,0,0.015745261,0,0,0.555979685,3.202815136,2.465549281,0.555979685,3.120206137,1.974972352,2.684618869,0.555979685,2.548795963,1.824013614,0.555979685,1.782421011,1.506973122,0.555979685,4.930219746,1.078005495,0.555979685,6.018228364
TCGA-A6-2671,0.031798334,0,0,0.081769539,0,0.11247725,0,0.009502251,0.05896822,0,0,0.034976415,0.012907036,0.276338432,0.053591839,0.250968949,0,0.012432443,0,0.028165399,0,0.036103895,0.692750037,2.823199269,3.665211841,0.692750037,3.996841643,3.138883434,2.730407066,0.692750037,2.155354402,2.401787407,0.803109244,2.170937217,2.144867095,0.742804324,4.955081409,1.611576188,0.692750037,6.224432171
TCGA-A6-2672,0.021534935,0,0,0.156560406,0,0.106738697,0.078641608,0.026764021,0.034322718,0,0.081127445,0,0,0.256852336,0.089457274,0.066489283,6.96E-05,0.010049216,0,0.057461154,0,0.01393127,0.768526178,3.55746867,4.057415944,0.768526178,4.087612541,5.08726716,3.87343913,0.907910301,5.000844331,2.893856572,0.903870261,2.26366595,3.220272192,0.964623053,6.352138527,2.70139996,0.910967954,6.662645945
TCGA-A6-2675,0.003284002,0,0,0,0,0.162016202,0,0.021551274,0.06283186,0,0.043455673,0,0,0.335818696,0.07207192,0.218286171,0.005469631,0,0,0.072031293,0.003183276,0,0.807436014,3.784507075,4.348577369,0.807436014,4.161824417,4.09248928,3.975349779,0.833735836,3.658911629,3.62233256,1.022236986,3.846733762,3.875680659,0.979601569,5.53696812,2.906983709,0.886676807,7.022943387
TCGA-A6-2676,0.003172167,0,0.001971189,0.090990486,0,0.13128105,0.133079634,0.009848327,0.007364741,0,0.077661548,0.005664324,0,0.184551165,0.134600472,0.168369439,0.010541285,0,0,0.001824373,0.023197812,0.015881988,0.745033425,3.483610619,4.336232422,0.745033425,4.004595476,4.59383441,3.35166421,1.013398107,4.593443043,2.54895064,0.945004594,2.063242541,2.929495909,0.786759496,7.154172801,2.922407832,0.745033425,6.379376349
TCGA-A6-2678,0.004303471,0,0,0.076043836,0,0.279060451,0.081607483,0.05779914,0.001599014,0,0,0.027994231,0.000302386,0.166265861,0.086042823,0.169567045,0.027599274,0,0.015882895,0,0,0.005932092,0.86090361,3.38069609,3.678424955,0.86090361,3.886545863,3.495120939,3.604858407,0.937798023,4.071489164,3.336786425,1.023675995,3.003013119,3.202279142,0.877808919,5.756454416,2.798394148,0.86090361,6.996360909
TCGA-A6-2681,0.028643862,0,0,0.059147235,0,0.070694124,0,0.027780902,0.078382332,0,0.015092709,0,0,0.432336934,0.067481421,0.114418433,0.017568139,0,0,0.088453909,0,0,0.774474057,2.76589486,3.611872402,1.006045346,3.988189937,3.076875587,3.007086314,0.774474057,2.530216237,2.569885274,0.886242265,2.565548779,2.429441116,0.825180967,4.255454144,1.753993137,0.892153436,6.213039052
TCGA-A6-2683,0.015273465,0,0.096699276,0.025643918,0,0.282859591,0,0.009180503,0.11162639,0,0.013633756,0,0.021953266,0.172887571,0.024278971,0.168349594,0.017054061,0,0,0.040559638,0,0,0.582588105,2.22574794,1.548608299,0.582588105,2.294699605,1.278929014,1.790865749,0.582588105,1.324359671,0.978490386,0.582588105,0.84085512,1.051264628,0.582588105,1.74633684,0.970287677,0.582588105,5.741001079
TCGA-A6-2686,0.023764623,0,0.004474309,0.239069085,0,0.091536706,0.078446205,0.045684804,0.008340769,0,0.013113877,0.03665526,0,0.117557118,0.071168349,0.181820436,0.047168445,0,0.014167308,0,0.014874742,0.012157964,0.760657718,3.745132667,3.734659384,0.675389605,4.327585811,4.411798356,3.349160834,0.757507859,3.655034525,3.180724177,0.875869752,2.200883127,3.377966923,0.822292006,6.118851714,2.873241789,0.799559988,6.634868132
TCGA-A6-3808,0.051665094,0,0.008516292,0.022525355,0,0.16013296,0.003695688,0.049287452,0.035265283,0,0,0.025184502,0,0.246177624,0.07329698,0.142415304,0.013235304,0,0,0.11430343,0.027756502,0.02654223,0.745375052,3.808242793,4.475303429,0.745375052,4.652834534,3.89122073,3.365060376,0.745375052,3.753260872,3.49404237,0.89930389,2.890784483,3.203499259,0.92595586,6.242047028,3.067997205,0.745375052,6.512031694
TCGA-A6-3809,0.032299229,0,0.018656595,0.07294116,0,0.187360122,0.084730951,0.053318489,0.005648912,0,0.034740317,0,0,0.157169649,0.067340062,0.14627143,0.014768848,0.009264465,0,0.083052003,0.004403614,0.028034154,0.794573256,3.429738378,4.01841774,0.794573256,3.787282238,4.512803348,3.614995694,1.092116395,4.306945543,3.067345974,0.872532119,2.624684141,3.462460387,0.794573256,5.511264609,2.782445624,0.794573256,6.47287789
TCGA-A6-5657,0.29277415,0,0.048408878,0.122046238,0,0.173576686,0.00772373,0.023743015,0.069559695,0,0,0.01030022,0,0.091070942,0.072158663,0.048141982,0.004273527,0,0.036222274,0,0,0,0.892709197,3.955485777,4.081530398,0.938341858,5.183232834,3.295163435,3.603807142,0.907381434,3.639206427,3.398930283,0.892709197,3.835380208,2.499168481,1.020255239,4.757301468,1.93323009,0.980503881,6.329559298
TCGA-A6-5659,0,0.028615636,0,0.084915263,0,0.164421817,0.063576737,0.018705263,0.002997267,0,0.048021779,0,0,0.408895023,0.068871078,0.041134501,0.023287953,0,0,0.04214995,0.004407733,0,0.78664049,4.133524782,3.389444628,0.78664049,4.011086773,2.819646878,3.514805256,0.78664049,3.151881729,2.380283966,0.875564377,2.703248595,2.081383912,0.78664049,5.779593776,1.615388554,0.78664049,6.339662399
TCGA-A6-6138,0.028496252,0,0.031481171,0.122296125,0,0.094033645,0.056449488,0.069480639,0.047857004,0,0.043060966,0.005215795,0,0.257279773,0.094208315,0.089910812,0.008474538,0.006029528,0.045725948,0,0,0,0.834386128,3.414592889,4.44138448,0.834386128,4.663377729,4.822119367,4.045595549,1.136577181,4.251857113,3.438020781,0.898148622,1.854143401,3.524169684,0.900405558,5.541986011,3.173391783,0.834386128,6.920883738
TCGA-A6-6142,0.017261874,0,0.011674211,0.011898014,0,0.016460637,0,0.028702693,0.080655782,0,0.062460306,0,0,0.518699227,0.024775586,0.060666641,0.000968289,0,0,0.131779898,0.014544724,0.019452116,0.795251126,3.173229408,4.476065826,0.795251126,4.370270047,4.138165647,3.544324945,0.822016977,2.700742206,3.028488232,0.795251126,3.059970697,3.12473815,0.841048911,5.613578165,2.145204007,0.795251126,6.721578436
TCGA-A6-6780,0.032004835,0,0.004028217,0.086865375,0,0.156413752,0.092554523,0.044395726,0.023130927,0,0.079760406,0.008855336,0,0.189398685,0.079704069,0.125514285,0.060322821,0,0,0.00752034,0,0.009530704,0.650215925,3.831011452,4.290509687,0.650215925,3.372815283,4.538789303,2.95719146,1.211204134,3.894812285,2.422185147,0.746649325,2.253870515,3.202004583,0.660024485,4.816305155,2.498698457,1.557269786,6.305379389
TCGA-A6-A565,0.14210989,0,0.017832162,0.111584227,0.172324639,0.233633876,0.008628839,0,0.002082302,0,0.036978883,0,0,0.140840478,0.039503031,0.077107495,0,0,0.001543035,0.013543895,0.002287247,0,0.647174158,3.44864864,4.888451794,0.647174158,5.644445787,4.455488359,3.827253257,0.787795018,4.109390636,3.640836927,1.041531345,2.905702127,3.236755499,0.917082234,5.229502539,2.472953274,0.79087847,6.487288887
TCGA-A6-A5ZU,0.043363565,0,0.081177578,0.04518126,0,0.100591807,0,0.052028775,0.023903204,0,0,0.003928993,0,0.451411573,0.070213581,0.095207685,0,0,0.032991979,0,0,0,0.451648883,3.248378691,3.790273535,0.451648883,3.209218372,2.836793285,3.071582531,0.508473044,2.974959914,2.500197572,0.611098347,2.613168349,2.834301197,0.548174958,3.863443891,1.836396432,0.619388361,5.909470999
TCGA-AA-3488,0.034105473,0,0.146259856,0.027395434,0,0.120866833,0.151328946,0,0.01875175,0,0.072762555,0,0,0.124299669,0.023795595,0.158588184,0,0.003345881,0,0.110534951,0,0.007964872,0.610234097,2.534010053,1.995161415,0.610234097,3.241615015,2.190015726,1.897647761,0.610234097,1.562372756,1.211140742,0.610234097,1.074576571,1.12664931,0.610234097,4.523932935,1.100997669,0.610234097,5.993950139
TCGA-AA-3511,0.053507453,0,0.077465995,0.040868258,0,0.219001684,0.042205639,0.029636792,0.054237697,0,0,0.022798371,0,0.190889351,0.052667882,0.149102781,0.002288537,0.006169504,0.045866309,0,0,0.013293749,0.53881916,3.149613226,3.362197611,0.598380748,3.795982793,2.765922525,2.871820329,0.53881916,2.73751006,2.50677126,0.594014398,3.286523639,2.118274978,0.571755833,4.787522939,1.508066555,0.596993825,6.180401603
TCGA-AA-3514,0,0,0.002240738,0.166431301,0,0.09321407,0,0.004585868,0.116461872,0,0,0.028075067,0.013587995,0.387374324,0.027885831,0.086652652,0.055029894,0,0.018460389,0,0,0,0.766675214,2.551495759,2.580188411,0.766675214,3.496223199,1.978928028,1.823689406,0.854471554,1.329390557,1.650868459,0.766675214,1.351700038,1.805892936,0.786034578,4.884194563,0.97742078,0.766675214,5.440600179
TCGA-AA-3517,0.042183306,0,0.127675641,0.029587901,0,0.120265382,0.034203285,0.021953358,0.02374681,0,0.013396688,0.005556134,0,0.301845218,0.025415996,0.148990178,0,0.002208158,0,0.089181415,0,0.013790528,0.565487339,3.024249392,3.289783551,0.565487339,3.30820588,3.094245171,2.769351889,0.565487339,2.58444975,3.386040486,0.565487339,2.285242925,2.077020453,0.693716432,5.11311114,1.559724541,0.716589289,6.052461657
